Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Request Latency (ms),20333.15,20219.57,20466.98,203331.49,20220.36,20223.55,20227.53,20253.38,20313.81,20418.96,20448.71,20457.85,20465.16,88.50
Time to First Token (ms),18312.74,18192.78,18349.40,183127.37,18202.24,18240.11,18287.44,18318.97,18325.12,18332.36,18335.20,18342.30,18347.98,41.88
Time to Second Token (ms),31.40,27.07,36.69,314.00,27.24,27.96,28.85,29.83,30.78,32.96,34.86,35.77,36.51,2.69
Tokens In Flight (tokens),64995.70,0.00,65128.00,,,,,,65000.00,,65001.00,65061.00,65114.00,829.49

Metric,Value
Benchmark Duration (sec),203.36
Input Token Throughput (tokens/sec),3196.16
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),6.24
Request Count,10.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),650001.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),3202.41


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
