Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),21597.02,21450.44,21716.70,215970.17,21452.67,21461.55,21472.65,21518.02,21609.19,21686.40,21697.66,21707.18,21714.79,95.89
Time to First Token (ms),19576.71,19426.40,19661.49,195767.08,19438.23,19485.53,19544.65,19559.79,19588.49,19607.98,19617.89,19639.69,19657.13,58.31
Time to Second Token (ms),31.62,27.26,35.08,316.25,27.37,27.79,28.32,30.05,31.63,33.85,34.23,34.66,34.99,2.45
Tokens In Flight (tokens),64996.36,0.00,65128.00,,,,,,65000.00,,65001.00,65059.00,65114.00,793.06

Metric,Value
Benchmark Duration (sec),216.00
Input Token Throughput (tokens/sec),3009.18
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),5.88
Request Count,10.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),650001.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),3015.06


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
