Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Input Sequence Length (tokens),20000.00,20000.00,20000.00,200000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,0.00
Inter Chunk Latency (ms),16.14,9.44,38.07,20335.64,10.33,11.36,11.71,13.40,15.71,18.11,20.88,23.25,29.50,3.85
Inter Token Latency (ms),16.14,15.43,17.27,161.39,15.43,15.45,15.46,15.71,15.97,16.44,17.02,17.14,17.24,0.60
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),62.04,57.91,64.81,620.43,58.00,58.34,58.76,60.83,62.62,63.65,64.67,64.74,64.80,2.24
Prefill Throughput Per User (tokens/sec/user),3076.83,3049.31,3097.82,30768.30,3049.40,3049.75,3050.19,3068.68,3079.55,3090.68,3095.22,3096.52,3097.56,16.31
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),8533.94,8409.96,8732.36,85339.44,8410.05,8410.43,8410.89,8472.27,8517.43,8575.23,8668.58,8700.47,8725.98,99.17
Time to First Token (ms),6500.38,6456.15,6558.86,65003.80,6456.69,6458.86,6461.58,6471.08,6494.46,6517.46,6556.97,6557.91,6558.67,34.54
Time to Second Token (ms),31.51,25.59,38.07,315.12,25.97,27.48,29.37,29.91,30.85,33.34,34.81,36.44,37.74,3.18
Tokens In Flight (tokens),20005.40,0.00,20127.00,,,,,,20000.00,,20072.00,20099.00,20121.00,432.79

Metric,Value
Benchmark Duration (sec),85.38
Input Token Throughput (tokens/sec),2342.29
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),14.87
Request Count,10.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),200000.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),2357.16


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
