Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Duration (excl. conn) (ms),8225.71,8126.13,8318.22,82257.12,8126.43,8127.65,8129.16,8154.18,8228.96,8282.75,8315.50,8316.86,8317.95,70.94
HTTP Receiving (ms),8223.17,8121.39,8315.68,82231.75,8121.89,8123.89,8126.39,8151.89,8226.87,8280.63,8312.89,8314.29,8315.40,71.28
HTTP Sending (ms),0.35,0.11,2.25,3.47,0.11,0.11,0.12,0.13,0.14,0.15,0.36,1.30,2.06,0.63
HTTP Total Time (ms),8226.04,8129.45,8318.22,82260.43,8129.45,8129.47,8129.50,8154.18,8228.96,8282.75,8315.50,8316.86,8317.95,70.48
HTTP Waiting (TTFB) (ms),2.19,1.93,2.50,21.90,1.93,1.93,1.93,2.01,2.11,2.42,2.47,2.48,2.49,0.22
Input Sequence Length (tokens),20000.10,20000.00,20001.00,200001.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.10,20000.55,20000.91,0.30
Inter Chunk Latency (ms),17.74,9.86,40.08,22351.17,10.88,11.72,12.55,14.66,17.16,19.99,23.29,25.79,30.93,4.32
Inter Token Latency (ms),17.74,16.96,18.51,177.39,16.96,16.99,17.03,17.22,17.83,18.10,18.40,18.46,18.50,0.53
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),56.42,54.01,58.97,564.24,54.04,54.17,54.34,55.26,56.08,58.08,58.73,58.85,58.95,1.70
Prefill Throughput Per User (tokens/sec/user),3338.70,3326.77,3344.55,33387.03,3327.32,3329.54,3332.32,3334.63,3340.84,3343.19,3344.03,3344.29,3344.50,5.64
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),8225.51,8126.21,8317.94,82255.15,8126.48,8127.56,8128.92,8153.95,8228.71,8282.57,8315.27,8316.61,8317.67,70.91
Time to First Token (ms),5990.40,5980.18,6011.84,59903.98,5980.24,5980.51,5980.84,5982.31,5986.52,5997.68,6001.82,6006.83,6010.84,10.10
Time to Second Token (ms),35.11,30.81,40.08,351.12,30.83,30.95,31.09,32.32,35.54,37.49,38.75,39.41,39.94,3.06
Tokens In Flight (tokens),20010.51,0.00,20128.00,,,,,,20000.00,,20079.00,20103.00,20122.00,362.95

Metric,Value
Benchmark Duration (sec),82.28
Input Token Throughput (tokens/sec),2430.60
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),15.43
Request Count,10.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),200001.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),2446.04


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
