Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),55.24,0.00,175.53,,,,,,53.69,,74.47,82.50,89.10,14.14
Active Decode Throughput Per User (tokens/sec/user),55.24,0.00,175.53,,,,,,53.69,,74.47,82.50,89.10,14.14
Active Prefill Throughput (tokens/sec),3217.55,3206.73,3224.58,,,,,,3218.15,,3223.56,3224.58,3224.58,5.03
Active Prefill Throughput Per User (tokens/sec/user),3217.55,3206.73,3224.58,,,,,,3218.15,,3223.56,3224.58,3224.58,5.03
Active Total Throughput (tokens/sec),3131.32,51.18,3224.58,,,,,,3218.15,,3223.56,3224.58,3224.58,515.05
Credit-to-Start Latency (ms),3.39,1.65,8.02,33.89,1.65,1.65,1.65,1.92,3.19,3.89,4.61,6.32,7.68,1.81
Decode Duration (ms),2280.65,2021.68,2461.58,22806.47,2034.76,2087.09,2152.50,2263.36,2300.14,2326.61,2376.27,2418.92,2453.05,112.02
E2E Output Token Throughput (tokens/sec/user),1.52,1.51,1.52,15.18,1.51,1.51,1.52,1.52,1.52,1.52,1.52,1.52,1.52,0.00
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.16
Effective Decode Throughput (tokens/sec),1.51,0.00,175.53,,,,,,0.00,,0.00,0.00,58.95,9.29
Effective Decode Throughput Per User (tokens/sec/user),1.51,0.00,175.53,,,,,,0.00,,0.00,0.00,58.95,9.29
Effective Latency (CO-aware) (ms),83650.50,83342.75,84105.40,836504.96,83354.21,83400.08,83457.42,83523.58,83643.89,83742.21,83820.43,83962.92,84076.91,199.71
Effective Prefill Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.16
Effective Prefill Throughput (tokens/sec),3129.64,0.00,3224.58,,,,,,3218.15,,3223.56,3224.58,3224.58,524.55
Effective Prefill Throughput Per User (tokens/sec/user),3129.64,0.00,3224.58,,,,,,3218.15,,3223.56,3224.58,3224.58,524.55
