Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),57.34,0.00,180.57,,,,,,55.82,,77.36,84.50,90.65,14.20
Active Decode Throughput Per User (tokens/sec/user),57.34,0.00,180.57,,,,,,55.82,,77.36,84.50,90.65,14.20
Active Prefill Throughput (tokens/sec),3273.58,3257.09,3288.40,,,,,,3273.46,,3283.69,3288.40,3288.40,9.09
Active Prefill Throughput Per User (tokens/sec/user),3273.58,3257.09,3288.40,,,,,,3273.46,,3283.69,3288.40,3288.40,9.09
Active Total Throughput (tokens/sec),2953.12,51.65,3288.40,,,,,,3273.46,,3283.69,3288.40,3288.40,963.35
Credit-to-Start Latency (ms),2.54,1.80,3.84,25.37,1.81,1.83,1.85,1.93,2.28,3.13,3.29,3.56,3.78,0.70
Decode Duration (ms),2197.10,1980.86,2439.36,21970.96,1986.96,2011.36,2041.86,2091.05,2216.95,2268.73,2356.31,2397.83,2431.05,134.18
E2E Output Token Throughput (tokens/sec/user),5.76,5.70,5.80,57.59,5.70,5.71,5.72,5.75,5.76,5.78,5.80,5.80,5.80,0.03
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.10,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),5.71,0.00,180.57,,,,,,0.00,,0.00,55.77,77.19,17.75
Effective Decode Throughput Per User (tokens/sec/user),5.71,0.00,180.57,,,,,,0.00,,0.00,55.77,77.19,17.75
Effective Latency (CO-aware) (ms),22055.88,21886.52,22298.31,220558.81,21888.81,21897.96,21909.39,21966.01,22054.89,22092.12,22209.38,22253.84,22289.42,120.24
Effective Prefill Concurrency,0.90,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.30
Effective Prefill Throughput (tokens/sec),2946.94,0.00,3288.40,,,,,,3273.46,,3283.69,3288.40,3288.40,981.15
Effective Prefill Throughput Per User (tokens/sec/user),2946.94,0.00,3288.40,,,,,,3273.46,,3283.69,3288.40,3288.40,981.15
Effective Total Throughput (tokens/sec),2952.65,0.00,3288.40,,,,,,3273.46,,3283.69,3288.40,3288.40,963.99
