Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Waiting (TTFB) (ms),5.21,2.57,5.99,52.13,2.80,3.72,4.88,5.23,5.42,5.67,5.85,5.92,5.97,0.92
Input Sequence Length (tokens),130800.10,130800.00,130801.00,1308001.00,130800.00,130800.00,130800.00,130800.00,130800.00,130800.00,130800.10,130800.55,130800.91,0.30
Inter Chunk Latency (ms),15.84,9.67,37.04,19956.01,10.62,11.33,11.63,13.31,15.25,17.81,20.34,22.30,27.99,3.68
Inter Token Latency (ms),15.84,14.72,16.71,158.38,14.77,14.96,15.19,15.62,15.86,16.15,16.58,16.65,16.70,0.56
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),63.22,59.83,67.92,632.19,59.88,60.07,60.30,61.91,63.06,64.02,65.82,66.87,67.71,2.27
Prefill Throughput Per User (tokens/sec/user),3237.69,3228.87,3246.29,32376.94,3229.31,3231.08,3233.30,3234.49,3237.01,3241.77,3243.79,3245.04,3246.04,4.99
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),42394.85,42213.11,42535.59,423948.47,42219.19,42243.49,42273.86,42311.27,42385.15,42504.78,42516.29,42525.94,42533.66,107.41
Time to First Token (ms),40399.25,40292.14,40509.54,403992.45,40295.25,40307.67,40323.19,40348.63,40407.71,40439.15,40454.03,40481.78,40503.99,62.21
Time to Second Token (ms),32.13,27.63,37.04,321.34,27.73,28.13,28.63,29.72,31.91,34.49,36.50,36.77,36.99,3.10
Tokens In Flight (tokens),130790.83,0.00,130928.00,,,,,,130800.00,,130801.00,130801.00,130900.00,1263.48

Metric,Value
Benchmark Duration (sec),423.98
Input Token Throughput (tokens/sec),3084.98
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),3.00
Request Count,10.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),1308001.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),3087.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
