Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),27.04,27.00,27.09,270.40,27.00,27.00,27.00,27.02,27.04,27.06,27.07,27.08,27.09,0.03
HTTP Data Sent (KB),85.96,84.44,88.69,859.55,84.44,84.46,84.47,84.68,85.52,86.99,87.60,88.15,88.58,1.41
HTTP DNS Lookup (ms),0.12,0.00,1.19,1.19,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.66,1.09,0.36
HTTP Duration (excl. conn) (ms),8486.06,8291.17,8659.32,84860.56,8296.87,8319.69,8348.22,8424.30,8505.16,8554.66,8588.58,8623.95,8652.25,105.20
HTTP Receiving (ms),8482.22,8287.98,8656.35,84822.16,8293.69,8316.56,8345.14,8421.61,8502.11,8551.07,8578.16,8617.26,8648.54,104.44
HTTP Sending (ms),0.37,0.10,1.80,3.73,0.11,0.12,0.14,0.20,0.24,0.26,0.42,1.11,1.66,0.48
HTTP Total Time (ms),8486.33,8291.17,8659.32,84863.30,8296.87,8319.69,8348.22,8424.30,8505.16,8554.66,8591.05,8625.18,8652.49,105.45
HTTP Waiting (TTFB) (ms),3.47,2.02,9.44,34.67,2.07,2.30,2.58,2.73,2.84,2.96,4.14,6.79,8.91,2.02
Input Sequence Length (tokens),20000.00,20000.00,20000.00,200000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,0.00
Inter Chunk Latency (ms),15.14,8.37,39.48,19074.69,9.94,10.74,11.26,12.13,14.47,17.16,19.65,21.71,27.81,3.83
Inter Token Latency (ms),15.14,13.81,16.38,151.39,13.87,14.10,14.40,14.66,15.17,15.53,15.84,16.11,16.33,0.70
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),66.20,61.03,72.41,661.98,61.24,62.09,63.16,64.37,65.92,68.20,69.48,70.95,72.12,3.08
Prefill Throughput Per User (tokens/sec/user),3040.64,3029.56,3066.87,30406.42,3029.70,3030.23,3030.91,3032.40,3034.84,3049.19,3055.67,3061.27,3065.75,12.15
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),8485.13,8289.95,8659.12,84851.32,8295.75,8318.95,8347.95,8423.20,8504.23,8553.54,8587.43,8623.28,8651.96,105.25
Time to First Token (ms),6577.66,6521.30,6601.61,65776.62,6523.70,6533.27,6545.23,6559.15,6590.14,6595.44,6598.69,6600.15,6601.32,26.18
Time to Second Token (ms),34.41,28.96,39.48,344.09,29.10,29.67,30.38,31.67,35.02,36.36,38.37,38.93,39.37,3.23
Tokens In Flight (tokens),20006.82,0.00,20127.00,,,,,,20000.00,,20069.00,20099.00,20121.00,381.66

Metric,Value
Benchmark Duration (sec),84.89
Input Token Throughput (tokens/sec),2355.93
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),14.96
Request Count,10.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),200000.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),2370.89


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
