Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),63.63,56.82,68.66,636.33,57.09,58.15,59.48,60.80,63.85,65.96,68.37,68.51,68.63,3.64
Prefill Throughput Per User (tokens/sec/user),1217.16,991.31,1244.11,12171.56,1013.70,1103.29,1215.26,1241.52,1242.12,1242.83,1243.29,1243.70,1244.03,75.29
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),3637.49,3445.92,4234.98,36374.89,3446.66,3449.63,3453.35,3519.20,3582.04,3683.87,3771.89,4003.43,4188.67,217.73
Time to First Token (ms),1650.74,1607.57,2017.54,16507.38,1607.68,1608.10,1608.63,1609.24,1610.15,1610.92,1653.19,1835.37,1981.10,122.27
Time to Second Token (ms),36.96,27.67,42.64,369.61,27.95,29.06,30.45,36.84,37.85,39.48,40.44,41.54,42.42,4.26
Tokens In Flight (tokens),2031.82,0.00,2127.00,,,,,,2008.00,,2102.00,2114.00,2124.00,69.51

Metric,Value
Benchmark Duration (sec),36.40
Input Token Throughput (tokens/sec),549.32
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),34.88
Request Count,10.00
Request Throughput (requests/sec),0.27
Total Input Sequence Length (tokens),20000.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),584.20


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
