Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),58.72,55.77,62.47,587.23,55.90,56.45,57.14,58.02,58.70,59.14,60.10,61.28,62.23,1.65
Prefill Throughput Per User (tokens/sec/user),3536.15,3532.00,3542.71,35361.47,3532.03,3532.13,3532.25,3534.00,3535.57,3537.42,3540.63,3541.67,3542.51,3.24
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),20528.95,20401.07,20653.00,205289.49,20408.79,20439.66,20478.26,20491.70,20531.88,20564.74,20583.99,20618.49,20646.10,63.96
Time to First Token (ms),18381.60,18347.51,18403.15,183816.05,18348.60,18352.92,18358.33,18374.96,18384.58,18392.76,18401.89,18402.52,18403.02,16.82
Time to Second Token (ms),31.41,27.00,35.23,314.06,27.10,27.47,27.94,29.79,31.08,34.01,35.09,35.16,35.22,2.74
Tokens In Flight (tokens),64996.72,0.00,65127.00,,,,,,65000.00,,65005.00,65066.00,65114.00,800.71

Metric,Value
Benchmark Duration (sec),205.32
Input Token Throughput (tokens/sec),3165.74
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),6.19
Request Count,10.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),650000.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),3171.93


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
