Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Duration (excl. conn) (ms),8205.97,7978.20,8326.18,82059.72,7989.84,8036.37,8094.53,8156.09,8248.81,8264.46,8312.39,8319.29,8324.80,100.80
HTTP Receiving (ms),8203.61,7974.35,8324.56,82036.15,7986.14,8033.33,8092.32,8153.52,8246.59,8262.34,8310.38,8317.47,8323.14,101.27
HTTP Sending (ms),0.33,0.10,1.70,3.26,0.11,0.11,0.12,0.12,0.14,0.17,0.62,1.16,1.59,0.47
HTTP Total Time (ms),8206.21,7980.54,8326.18,82062.06,7991.97,8037.65,8094.76,8156.09,8248.81,8264.46,8312.39,8319.29,8324.80,100.27
HTTP Waiting (TTFB) (ms),2.03,1.50,2.47,20.30,1.53,1.65,1.80,1.90,2.02,2.21,2.28,2.38,2.45,0.26
Input Sequence Length (tokens),20000.10,20000.00,20001.00,200001.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.00,20000.10,20000.55,20000.91,0.30
Inter Chunk Latency (ms),16.92,9.63,34.97,21323.63,10.32,11.17,12.06,13.78,16.38,19.03,22.55,25.48,29.47,4.24
Inter Token Latency (ms),16.92,15.36,17.91,169.24,15.42,15.67,15.99,16.53,17.17,17.44,17.75,17.83,17.89,0.76
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),59.21,55.84,65.12,592.12,55.89,56.09,56.35,57.33,58.23,60.51,62.57,63.84,64.86,2.74
Prefill Throughput Per User (tokens/sec/user),3293.08,3284.00,3309.75,32930.82,3284.12,3284.59,3285.18,3286.93,3290.35,3294.94,3307.69,3308.72,3309.55,8.51
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),8205.77,7977.74,8326.16,82057.72,7989.41,8036.10,8094.46,8156.10,8248.44,8264.19,8312.19,8319.18,8324.77,100.83
Time to First Token (ms),6073.41,6042.75,6090.13,60734.08,6043.13,6044.63,6046.51,6069.92,6078.39,6084.71,6088.21,6089.17,6089.93,15.69
Time to Second Token (ms),31.09,28.69,34.97,310.85,28.69,28.72,28.76,29.22,30.34,33.14,34.47,34.72,34.92,2.30
Tokens In Flight (tokens),20009.48,0.00,20128.00,,,,,,20000.00,,20077.00,20102.00,20122.00,369.44

Metric,Value
Benchmark Duration (sec),82.08
Input Token Throughput (tokens/sec),2436.41
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),15.47
Request Count,10.00
Request Throughput (requests/sec),0.12
Total Input Sequence Length (tokens),200001.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),2451.89


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
