Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Total Time (ms),80337.47,79914.86,82118.58,803374.67,79926.69,79973.98,80033.09,80106.13,80156.99,80247.10,80437.37,81277.97,81950.46,601.80
HTTP Waiting (TTFB) (ms),42.62,3.61,386.57,426.19,3.62,3.62,3.63,4.01,4.14,4.53,45.05,215.81,352.42,114.65
Input Sequence Length (tokens),261800.50,261800.00,261801.00,2618005.00,261800.00,261800.00,261800.00,261800.00,261800.50,261801.00,261801.00,261801.00,261801.00,0.50
Inter Chunk Latency (ms),17.47,8.11,44.36,22013.56,10.62,11.35,11.90,13.81,16.85,20.02,23.66,26.00,32.50,4.75
Inter Token Latency (ms),17.47,15.70,19.40,174.71,15.76,16.01,16.32,16.92,17.26,18.15,18.52,18.96,19.31,1.02
OSL Mismatch Diff % (%),-0.78,-0.78,-0.78,-7.81,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.00
Output Sequence Length (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Output Token Throughput Per User (tokens/sec/user),57.43,51.55,63.71,574.34,51.80,52.78,54.00,55.09,57.93,59.09,61.28,62.49,63.47,3.36
Prefill Throughput Per User (tokens/sec/user),3350.73,3286.00,3359.55,33507.34,3292.19,3316.95,3347.89,3356.78,3358.12,3358.95,3359.40,3359.47,3359.54,21.62
Reasoning Token Count (tokens),127.00,127.00,127.00,1270.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.00
Request Latency (ms),80336.95,79914.64,82115.43,803369.51,79926.48,79973.84,80033.05,80105.81,80156.77,80246.80,80436.98,81276.20,81947.58,600.93
Time to First Token (ms),78135.59,77927.33,79671.34,781355.95,77927.70,77929.16,77930.99,77941.22,77960.51,77991.32,78201.45,78936.39,79524.35,512.89
Time to Second Token (ms),34.48,28.04,44.36,344.76,28.26,29.15,30.26,31.21,32.96,36.41,42.09,43.22,44.13,4.91
Tokens In Flight (tokens),261787.68,0.00,261928.00,,,,,,261801.00,,261801.00,261801.00,261881.00,1950.69

Metric,Value
Benchmark Duration (sec),803.41
Input Token Throughput (tokens/sec),3258.59
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),1.58
Request Count,10.00
Request Throughput (requests/sec),0.01
Total Input Sequence Length (tokens),2618005.00
Total Output Sequence Length (tokens),1270.00
Total Reasoning Tokens (tokens),1270.00
Total Token Throughput (tokens/sec),3260.17


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
